carrier,Algorithms,Amphitheaters,Aquariums,Avalanches,Bags,Blood,Boulders,Bread,Cameras,Caverns,Constellations,Contraptions,Denim,Deserts,Dirigibles,Dust,Dynasties,Fountains,Frosts,Harmonies,Illusions,Information,Kaleidoscopes,Lightning,Masquerades,Memories,Milk,Mirrors,Monoliths,Oceans,Origami,Peace,Phones,Plastic,Poetry,Quarries,Rubber,Sadness,Satellites,Secrecy,Silver,Snow,Sugar,Treasures,Trees,Trumpets,Vegetables,Volcanoes,Xylophones,Youths
Stars twinkled brightly in the clear night sky.,-1.05,0.969,0.561,0.09,-0.691,-0.467,0.399,-0.289,-0.736,0.951,3.71,1.047,0.444,-0.305,1.231,-0.088,0.158,0.039,2.245,0.891,-0.528,-0.675,1.206,0.416,1.191,-1.421,-0.423,-0.607,1.131,-0.387,-1.161,-0.568,-1.232,-0.632,-1.193,-0.05,0.199,-1.383,0.494,-0.364,0.364,0.436,-0.902,-1.036,-0.46,-0.224,-1.274,-1.291,0.763,0.506
The air conditioner hummed quietly in the background.,0.833,-1.516,-0.341,-1.027,-0.154,0.548,-0.697,0.046,0.808,-1.088,-0.439,-1.63,-0.253,0.434,-1.702,0.009,-0.977,-0.204,-1.105,-0.642,0.275,1.532,-1.529,-0.313,-1.655,1.766,0.169,0.998,-1.57,1.025,0.389,1.434,1.666,0.787,1.0,-0.523,-0.557,1.62,0.935,0.454,-0.675,0.092,0.608,0.712,0.989,-0.886,1.129,0.763,-1.565,0.023
The antique vase was carefully wrapped in bubble wrap.,0.783,-1.267,-1.048,-1.237,0.426,0.102,-0.312,-0.222,0.968,-1.073,-0.304,-1.651,0.325,0.403,-1.856,-0.344,-0.56,-0.44,-1.359,-0.938,0.094,1.236,-1.128,-0.276,-1.219,1.65,-0.138,1.593,-1.421,0.759,1.135,0.848,1.52,1.021,0.988,-0.519,-0.779,1.378,0.542,0.713,-0.38,-0.303,0.206,1.723,1.009,-0.826,1.039,0.987,-1.622,-0.228
The basketball bounced off the rim.,0.776,-1.462,-0.785,-1.446,-0.145,0.425,-0.121,0.347,0.863,-1.324,-0.588,-1.704,0.34,-0.119,-1.693,-0.671,-0.686,-0.506,-1.379,-0.843,0.137,1.923,-0.987,-0.055,-1.147,1.722,-0.01,1.159,-1.745,0.588,0.713,1.284,1.518,0.922,1.731,-0.575,0.168,1.072,0.816,0.291,-0.731,-0.268,0.3,0.903,0.842,-0.828,1.174,0.851,-1.175,0.128
The book fell open to page 217.,-0.698,1.435,0.895,0.905,0.339,0.17,0.496,0.096,-0.673,1.029,-0.42,1.855,-0.064,-0.906,1.607,0.574,0.737,0.06,1.159,0.738,-0.325,-0.619,1.085,-0.107,1.372,-1.913,-0.016,-1.271,1.636,-1.12,-0.862,-0.953,-0.98,-0.563,-1.182,0.444,1.163,-1.539,-1.132,-0.161,0.814,-0.152,-0.05,-0.664,-1.342,0.265,-1.608,-1.522,1.683,0.287
The cat jumped onto the windowsill to watch birds.,-0.93,1.106,0.988,1.052,0.215,-0.714,0.711,0.346,-0.646,0.451,0.126,1.846,0.025,-0.349,1.941,0.659,0.769,0.722,0.782,0.756,-0.533,-1.6,1.145,-0.094,1.046,-2.259,0.324,-0.844,1.581,-1.193,-0.325,-1.314,-1.23,-0.869,-1.332,0.531,0.694,-1.335,-0.11,-0.488,0.714,-0.162,-0.591,-1.276,-0.516,1.185,-1.216,-1.165,1.476,-0.099
The chef garnished the plate with fresh herbs.,-0.699,1.324,0.855,0.943,0.236,-0.436,0.564,0.294,-0.626,1.049,0.136,1.724,-0.023,-0.517,1.751,0.038,0.538,0.686,0.85,1.271,-0.168,-1.344,1.212,-0.254,1.359,-2.143,-0.059,-1.258,1.595,-1.358,-0.396,-1.233,-1.329,-0.649,-1.133,0.672,0.418,-1.586,-0.677,-0.397,0.827,-0.441,-0.404,-1.229,-1.243,0.96,-0.144,-0.976,1.681,-0.261
The coffee shop was bustling with morning customers.,0.817,-1.441,-0.857,-1.065,-0.089,0.268,-0.772,0.06,0.778,-0.988,0.028,-1.75,0.005,0.717,-1.852,-0.397,-0.642,-0.402,-1.129,-0.898,0.197,1.093,-1.231,-0.005,-1.386,1.885,-0.043,1.056,-1.695,1.088,0.697,1.119,1.411,0.697,1.375,-0.45,-0.789,1.606,0.692,0.34,-0.722,0.056,0.461,0.939,1.205,-0.757,1.205,1.105,-1.577,0.038
The comedian's joke made everyone laugh.,-0.772,1.646,0.991,1.077,0.3,-0.438,0.551,-0.053,-0.657,0.94,-0.139,1.813,0.178,-0.774,1.84,0.21,0.657,0.284,0.947,0.998,-0.033,-1.162,1.072,-0.143,1.365,-1.889,0.265,-1.178,1.592,-1.195,-0.719,-1.156,-1.317,-0.776,-1.079,0.567,0.737,-1.416,-0.829,-0.172,0.672,-0.36,-0.382,-1.027,-1.424,0.97,-1.136,-1.081,1.531,0.101
The dog wagged its tail excitedly at the park.,-0.811,1.185,0.811,0.984,0.711,-0.064,0.471,-0.103,-0.769,1.052,-0.214,1.932,0.09,-0.617,1.896,0.387,0.586,0.515,0.869,0.716,-0.235,-1.198,1.039,0.118,1.436,-2.001,0.246,-1.221,1.667,-1.201,-0.824,-0.988,-1.292,-0.648,-1.509,0.373,0.807,-1.432,-0.855,-0.53,0.724,-0.258,-0.348,-0.994,-0.963,1.045,-1.056,-1.08,1.665,-0.116
The flight attendant demonstrated safety procedures.,-0.877,1.407,0.797,1.262,0.147,-0.267,0.235,0.107,-0.708,0.936,0.262,1.711,0.019,-0.392,2.167,0.268,0.34,0.527,0.77,0.763,-0.252,-1.506,1.169,0.234,1.37,-2.158,0.095,-1.187,1.504,-0.954,-0.389,-1.102,-1.295,-0.752,-1.14,0.549,0.673,-1.481,-0.586,-0.464,0.716,-0.339,-0.344,-1.313,-1.051,1.18,-1.069,-0.835,1.655,-0.4
The hiker followed the trail markers through the forest.,1.11,-1.245,-0.969,-0.44,-0.32,0.246,0.096,-0.267,0.878,-0.226,0.186,-1.739,-0.24,1.028,-1.881,-0.591,-0.481,-0.853,-1.071,-0.883,0.022,1.27,-1.405,-0.133,-1.455,1.797,-0.491,1.243,-1.329,1.069,0.44,0.995,1.318,0.215,1.094,-0.318,-0.889,1.407,0.776,0.252,-0.771,0.076,-0.023,1.345,1.545,-1.032,1.143,1.068,-1.83,0.264
The movie theater was packed for the premiere.,0.834,-1.102,-0.822,-1.129,-0.122,0.338,-0.745,-0.105,0.858,-0.981,-0.037,-1.785,-0.028,0.596,-1.892,-0.418,-0.55,-0.512,-1.148,-0.924,0.23,1.235,-1.264,-0.125,-1.249,1.94,-0.061,1.076,-1.621,1.089,0.666,1.166,1.471,0.687,1.403,-0.479,-0.799,1.58,0.678,0.399,-0.64,0.019,0.347,1.065,1.111,-0.882,1.134,1.025,-1.674,0.145
The museum exhibit featured ancient Egyptian artifacts.,0.499,-0.906,-0.242,-0.913,-0.594,-0.517,-1.211,0.053,0.431,-0.809,0.846,-1.571,-0.038,2.026,-1.296,-0.453,0.1,0.043,-1.88,-1.342,0.287,-0.233,-1.095,0.047,-0.951,1.24,-0.606,1.087,-1.452,1.256,1.498,0.443,1.122,0.551,1.605,-0.091,-1.182,1.422,0.737,0.04,-0.706,-0.42,-0.08,1.409,1.362,0.065,0.973,1.531,-1.15,-0.935
The old clock on the wall ticked loudly.,0.911,-1.611,-0.715,-1.119,0.178,0.095,-0.746,0.362,1.079,-1.334,-0.088,-1.641,0.189,0.259,-1.737,0.091,-0.65,0.436,-1.654,-0.872,0.363,0.89,-0.849,-0.125,-1.299,1.801,-0.268,2.107,-1.472,0.844,0.777,0.905,1.212,0.04,1.292,-0.409,-1.009,1.61,0.484,0.801,-0.504,-0.344,0.287,0.909,1.267,-0.833,0.67,0.937,-1.448,-0.07
The old photograph brought back forgotten memories.,0.775,-1.361,-0.961,-0.944,-0.213,0.309,-0.808,-0.126,0.783,-0.985,-0.008,-1.628,-0.037,0.56,-1.698,-0.29,-0.468,-0.517,-1.157,-0.813,0.317,1.12,-0.963,-0.118,-1.249,2.974,-0.228,1.067,-1.529,0.979,0.616,1.008,1.19,0.562,1.256,-0.573,-0.787,1.679,0.61,0.282,-0.544,-0.087,0.317,1.142,1.059,-0.808,1.112,0.821,-1.551,-0.089
The orchestra tuned their instruments before the concert.,0.987,0.175,-0.66,-1.052,-0.558,-0.067,-1.128,-1.346,0.878,-0.729,0.811,-1.589,-1.009,0.401,-1.5,-1.146,0.118,-0.722,-1.189,0.615,0.024,0.892,-1.33,-0.123,-0.407,1.667,-1.06,0.653,-1.771,1.038,0.256,0.72,1.42,0.332,1.458,-0.524,-1.462,1.025,1.174,-0.118,-0.966,-0.804,-0.048,1.054,0.439,1.794,1.441,1.472,0.414,0.052
The painting hung crookedly on the wall.,-1.195,0.92,0.719,1.295,0.38,-0.803,0.46,0.039,-0.69,0.556,0.669,1.492,0.122,0.01,2.107,0.251,0.431,0.642,0.515,0.56,-0.13,-2.03,1.481,-0.113,1.413,-2.24,-0.264,0.012,1.3,-0.759,0.013,-1.358,-1.299,-1.131,-0.484,0.56,0.02,-0.96,-0.62,-0.179,0.448,-0.711,-0.611,-1.157,-0.546,1.747,-1.093,-0.726,1.892,-0.956
The professor explained the theory with great enthusiasm.,1.15,1.468,0.865,0.455,0.05,0.815,0.189,-0.561,-0.137,1.178,-0.493,2.265,-0.96,-1.472,0.841,0.276,1.389,-0.792,0.989,1.691,0.804,0.578,-0.039,-0.828,0.752,-1.44,-0.099,-1.485,1.837,-1.327,-0.875,-0.573,-1.047,-0.529,-0.831,-0.601,0.591,-0.727,-0.678,0.322,0.986,-0.673,-0.083,-1.245,-1.442,0.276,-1.185,-1.347,1.049,0.652
The recipe called for two teaspoons of vanilla extract.,2.002,0.095,-0.186,-1.367,-0.114,0.466,-1.571,1.663,0.158,-0.283,-0.965,0.345,-0.362,0.466,0.546,0.304,0.897,-0.852,-0.589,0.969,-0.758,0.351,-0.796,-1.084,-0.566,-0.633,2.007,-0.834,0.342,-0.575,0.096,-0.322,0.234,-0.151,0.336,0.149,0.215,0.321,-1.193,0.087,1.526,-1.202,3.371,-1.789,-1.397,-0.003,0.515,-0.579,1.209,-0.497
The telescope revealed stunning details of Saturn's rings.,0.685,-1.296,-0.72,-1.317,-0.518,0.278,-0.617,-0.526,1.148,-0.587,1.25,-1.738,-0.219,0.501,-1.666,0.705,-0.433,-0.51,-0.845,-0.84,0.457,1.057,-0.123,0.429,-1.65,1.414,-0.314,0.967,-1.504,1.089,0.073,0.867,1.28,0.378,0.69,-1.097,-0.893,0.685,2.655,0.018,-0.564,-0.32,0.13,0.857,1.029,-0.862,0.681,1.679,-1.51,-0.33
The train arrived precisely on schedule.,-0.247,0.478,-0.365,1.052,0.896,1.55,-0.839,-0.591,0.195,-0.824,-2.058,1.524,-1.004,-1.369,1.216,0.999,-0.481,-1.347,0.469,-0.047,0.705,1.191,-0.68,0.56,-0.865,-0.226,-0.061,0.164,0.554,-1.193,-2.536,0.174,1.14,-0.657,-1.442,-0.567,1.003,-0.7,1.587,0.769,1.226,-0.382,1.438,0.258,-1.113,-0.732,-0.578,0.219,0.16,1.375
Their canoe glided silently across the still lake.,0.678,-1.308,-0.815,-1.035,-0.336,0.146,-0.63,0.006,0.761,-0.786,0.099,-1.758,-0.107,0.78,-1.649,-0.626,-0.719,-0.358,-1.075,-1.054,0.21,0.967,-1.103,-0.114,-1.415,1.789,-0.256,1.662,-1.614,1.395,0.788,1.262,1.232,0.506,1.391,-0.425,-0.869,1.665,0.82,0.442,-0.733,0.016,0.141,0.859,1.25,-0.81,1.068,1.147,-1.536,0.055
They planted tulip bulbs in the garden last fall.,-0.488,1.458,1.082,1.048,0.16,-0.059,0.891,-0.237,-0.805,0.947,-0.373,1.897,-0.185,-1.194,1.559,0.229,0.666,0.289,1.523,0.823,-0.295,-0.568,0.976,-0.496,1.41,-1.761,0.142,-1.456,1.812,-1.276,-0.981,-0.891,-1.225,-0.454,-1.561,0.403,1.186,-1.828,-0.751,-0.525,0.581,0.128,-0.492,-0.515,-0.78,0.382,-0.808,-1.197,1.216,0.393
They watched the sunset from the rooftop.,0.14,-0.337,-0.93,-1.009,-0.706,0.236,-0.612,-0.572,0.43,-1.283,1.168,-2.4,-0.705,1.455,-1.351,-0.371,-0.238,0.034,-1.273,-0.455,0.601,0.495,-0.84,0.325,-0.759,1.444,-0.855,1.093,-1.492,1.043,0.844,1.01,0.547,0.438,1.484,-0.412,-0.823,2.11,1.438,0.472,-0.802,-0.231,-0.237,0.573,1.077,-0.19,0.629,1.397,-2.04,0.439
Waves crashed against the rocky shoreline.,0.385,-1.402,-0.77,-0.47,-0.368,-0.306,1.608,-0.673,0.061,0.162,0.233,-1.799,0.028,1.479,-1.665,-0.944,-0.551,-0.125,-0.823,-1.099,-0.011,0.271,-0.962,0.72,-1.426,1.346,-0.615,0.518,-1.15,2.98,0.243,0.626,-0.007,1.007,1.423,0.541,-0.91,0.98,0.324,-0.065,-0.904,0.029,0.174,1.007,1.138,-1.109,0.688,1.716,-1.291,-0.244
Wind chimes tinkled melodically on the porch.,0.165,0.338,0.33,0.176,0.639,-0.875,0.923,-0.989,-1.368,0.855,-0.537,1.107,-1.145,-1.073,0.767,-0.315,0.48,2.856,0.389,2.842,-0.622,0.05,1.734,-0.608,0.589,-0.253,-0.506,-0.162,0.351,-0.368,0.01,0.579,-0.951,-0.167,-0.606,-0.549,-0.74,-0.782,-1.088,-0.192,-0.37,-0.2,-1.078,0.007,-0.971,0.27,-1.511,-0.867,2.586,0.848
