carrier,Algorithms,Amphitheaters,Aquariums,Avalanches,Bags,Blood,Boulders,Bread,Cameras,Caverns,Constellations,Contraptions,Denim,Deserts,Dirigibles,Dust,Dynasties,Fountains,Frosts,Harmonies,Illusions,Information,Kaleidoscopes,Lightning,Masquerades,Memories,Milk,Mirrors,Monoliths,Oceans,Origami,Peace,Phones,Plastic,Poetry,Quarries,Rubber,Sadness,Satellites,Secrecy,Silver,Snow,Sugar,Treasures,Trees,Trumpets,Vegetables,Volcanoes,Xylophones,Youths
He repaired the leaky faucet with a new washer.,-0.721,1.268,1.146,0.904,0.308,0.647,0.629,-0.218,0.057,0.759,-1.268,1.727,0.274,-1.234,1.257,0.292,0.29,0.901,1.108,0.512,-0.382,-0.153,0.738,-0.478,0.998,-1.495,0.155,-0.985,1.402,-1.449,-0.858,-0.883,-0.829,0.382,-1.659,0.376,1.837,-1.4,-0.984,-0.11,1.14,-0.493,0.311,-1.132,-1.914,0.496,-1.392,-1.231,1.373,-0.017
He sketched the landscape with charcoal pencils.,-0.847,1.424,1.078,1.095,0.066,0.01,0.613,0.319,0.091,0.819,-0.582,1.595,0.374,-0.542,1.45,0.2,0.141,-0.111,1.024,0.967,-0.279,-1.052,1.22,-0.223,0.859,-1.641,0.09,-1.162,1.524,-1.195,0.366,-1.362,-1.402,-0.937,-0.915,0.589,1.2,-1.285,-1.351,-0.837,1.401,-0.331,0.034,-1.53,-0.927,0.954,-1.149,-1.061,1.831,-0.611
His favorite ice cream flavor was mint chocolate chip.,-1.265,1.217,1.105,1.517,0.136,0.1,0.193,0.542,-1.008,0.721,-0.409,1.356,0.632,-0.248,1.572,0.311,0.151,0.123,1.113,0.287,-0.851,-1.373,1.05,0.038,1.019,-1.78,0.792,-1.012,1.349,-1.106,-0.164,-1.156,-1.405,-0.652,-1.182,0.57,1.095,-1.194,-1.174,-0.817,1.072,0.586,0.248,-1.598,-1.156,1.065,-0.85,-0.925,1.744,-0.38
Lightning flashed across the night sky.,-1.204,1.248,1.013,1.483,-0.112,0.3,0.584,0.056,-1.085,0.97,-0.523,1.369,0.016,-0.633,1.505,0.402,0.195,-0.116,1.386,0.415,-0.592,-0.818,0.893,1.592,1.078,-1.631,0.235,-1.153,1.399,-1.148,-0.785,-1.068,-1.426,-0.566,-1.42,0.617,1.06,-1.386,-0.94,-0.432,1.159,0.575,0.033,-1.219,-1.253,0.506,-1.238,-0.936,1.491,0.103
"Mountains loomed in the distance, covered with snow.",0.99,-0.931,-1.358,-0.888,-0.45,0.476,0.664,-0.713,0.143,-0.191,-0.386,-1.174,-0.7,0.275,-1.276,0.16,0.304,-0.887,-0.128,-0.153,0.852,2.208,-1.16,-0.255,-0.735,1.256,-0.187,0.327,-0.565,0.891,-1.27,1.484,0.8,0.425,-0.195,-0.537,-0.488,0.333,0.907,0.019,-1.019,2.112,-0.016,1.823,1.204,-2.435,0.523,1.073,-1.92,0.768
Rain pattered softly against the windowpane.,-1.424,0.303,1.628,1.557,-0.734,-0.405,-0.251,0.214,-0.861,0.587,-0.411,0.637,0.238,-0.103,1.19,0.733,-0.81,0.723,1.625,0.255,-0.989,-1.399,1.134,0.472,0.483,-1.554,-0.081,-0.053,0.777,-0.403,-0.251,-0.943,-1.338,-0.248,-0.375,0.178,0.991,-0.079,-1.031,0.294,0.64,2.709,0.15,-2.13,-0.972,0.398,-1.317,-0.763,1.956,-0.946
She collected seashells every summer at the beach.,-1.264,1.484,1.286,1.371,0.382,0.107,0.936,-0.174,-0.963,1.173,-0.544,1.538,-0.02,-0.265,1.526,0.389,0.262,-0.154,1.139,0.08,-0.899,-1.28,1.257,-0.038,1.102,-1.353,0.155,-1.14,1.535,-0.605,-0.671,-1.341,-1.29,-0.403,-1.441,0.861,1.047,-1.32,-1.259,-0.834,1.277,0.385,0.008,-0.885,-1.108,0.691,-1.115,-0.953,1.456,-0.13
She planted herbs in pots on the kitchen windowsill.,-0.896,1.423,1.325,1.353,0.392,0.235,0.781,0.178,-0.846,0.997,-0.663,1.664,0.04,-0.693,1.546,0.388,0.376,0.095,1.293,0.546,-0.59,-0.711,0.863,-0.397,1.053,-1.653,0.311,-1.177,1.626,-1.196,-0.763,-1.159,-1.324,-0.444,-1.42,0.512,1.261,-1.454,-0.957,-0.598,1.201,0.126,-0.041,-1.21,-1.212,0.362,-0.908,-1.23,1.592,0.004
She practiced piano for three hours every day.,-0.931,1.432,1.13,1.374,0.17,0.36,0.605,0.103,-0.93,1.047,-0.823,1.661,-0.075,-0.868,1.549,0.399,0.396,-0.167,1.26,0.577,-0.589,-0.664,0.86,-0.196,1.141,-1.576,0.332,-1.199,1.58,-1.229,-0.626,-0.982,-1.236,-0.419,-1.302,0.399,1.229,-1.407,-1.03,-0.511,1.213,0.286,0.099,-1.29,-1.311,0.648,-1.173,-1.188,1.651,0.225
She solved the crossword puzzle in record time.,-0.974,1.417,1.135,1.519,0.093,0.189,0.506,0.136,-0.933,0.969,-0.589,1.587,0.044,-0.617,1.616,0.297,0.339,-0.08,1.228,0.456,-0.557,-0.91,1.046,-0.068,1.098,-1.712,0.257,-1.086,1.599,-1.231,-0.265,-1.125,-1.328,-0.561,-1.238,0.508,1.11,-1.401,-1.066,-0.384,1.195,0.225,0.047,-1.38,-1.303,0.777,-1.22,-1.092,1.669,0.06
She tied her hiking boots with double knots.,-0.627,1.265,1.012,1.623,0.641,0.521,0.575,0.018,-0.658,0.905,-1.001,1.569,0.652,-1.006,1.489,0.362,0.274,-0.37,1.217,0.621,-0.646,-0.629,0.794,-0.197,1.13,-1.666,0.336,-1.028,1.481,-1.333,-0.312,-1.023,-1.25,-0.431,-1.427,0.488,1.301,-1.389,-1.109,-0.286,1.303,0.089,-0.194,-1.243,-1.527,0.488,-1.288,-1.156,1.444,0.2
She wrapped the birthday present with blue ribbon.,-0.596,-1.066,-1.093,0.235,0.831,-0.356,-0.632,0.705,0.356,-0.888,0.78,-0.699,2.205,0.827,-0.079,-0.989,-1.415,0.153,-1.711,-0.196,-0.776,-1.126,0.4,-0.499,-0.119,-0.087,0.486,0.941,-0.954,0.151,3.545,-0.774,-0.299,1.158,0.772,-0.394,-0.828,1.24,-0.002,1.201,1.24,-0.984,0.165,-0.142,-0.278,1.082,0.013,0.219,0.212,-1.936
Snowflakes drifted lazily from the gray sky.,0.747,-1.572,-1.338,-0.687,-0.71,-0.337,-0.404,-0.461,0.476,-1.072,0.649,-1.778,-0.33,0.492,-1.463,-0.127,-0.425,-0.328,-0.171,-0.527,0.489,0.668,-0.522,0.517,-0.974,1.663,-0.292,0.854,-1.567,0.888,0.165,1.088,0.942,0.23,0.948,-0.841,-1.178,1.428,1.376,0.364,-1.026,2.793,-0.026,0.87,1.179,-0.859,0.886,1.087,-1.649,-0.133
Stars twinkled brightly in the clear night sky.,0.014,-0.585,-0.682,-0.786,-1.172,0.042,-0.264,-1.121,-0.347,0.157,5.135,-0.961,0.186,0.248,-0.787,-0.133,-0.344,-1.08,0.99,-0.016,-0.157,0.881,0.095,0.772,0.205,0.636,-0.766,0.341,-0.713,1.007,-0.945,1.038,-0.037,-0.097,-0.103,-0.96,-0.861,0.275,1.351,0.098,-0.298,0.477,-0.726,0.565,0.724,-1.341,0.152,-0.178,-0.757,0.827
The air conditioner hummed quietly in the background.,1.178,-1.468,-0.85,-1.541,-0.13,-0.102,-0.635,-0.122,1.079,-1.081,0.12,-1.453,-0.247,0.543,-1.509,0.067,-0.492,0.111,-1.33,-0.302,0.641,1.315,-1.142,-0.126,-1.312,1.533,-0.168,1.067,-1.516,1.114,0.137,1.377,1.559,0.705,1.119,-0.685,-0.986,1.386,1.138,0.625,-1.227,-0.284,0.164,1.189,1.026,-0.753,1.145,0.845,-1.625,-0.097
The antique vase was carefully wrapped in bubble wrap.,1.004,-1.314,-1.231,-1.633,0.247,-0.44,-0.392,-0.073,1.16,-1.03,0.422,-1.55,0.27,0.592,-1.589,-0.46,-0.415,0.116,-1.467,-0.637,0.53,0.745,-0.896,-0.112,-1.101,1.471,-0.282,1.444,-1.425,1.035,0.953,0.885,1.406,0.737,1.224,-0.508,-1.053,1.313,0.971,0.583,-0.974,-0.69,-0.138,1.587,1.071,-0.585,1.079,1.069,-1.592,-0.329
The basketball bounced off the rim.,-0.274,0.837,0.637,-0.001,-0.232,0.746,2.232,0.636,-0.155,-0.214,-1.576,0.964,0.437,-2.73,1.175,-0.154,0.58,-0.492,0.349,0.539,-0.36,1.533,0.621,-0.477,0.746,-0.979,0.627,-0.246,0.653,-1.862,-0.82,-0.44,-0.213,0.429,-0.122,0.713,2.05,-1.626,0.007,-0.676,0.163,0.131,-0.811,-0.703,-2.279,0.27,-0.748,-0.927,1.498,0.542
The book fell open to page 217.,-0.805,1.329,1.127,1.245,0.414,0.625,0.496,0.226,-0.783,1.073,-1.024,1.724,-0.293,-1.024,1.336,0.599,0.61,-0.375,1.261,0.47,-0.6,-0.072,0.921,-0.273,1.161,-1.494,0.159,-1.155,1.532,-1.229,-0.997,-0.752,-1.033,-0.39,-1.195,0.413,1.397,-1.432,-1.273,-0.312,1.283,0.335,0.215,-0.945,-1.321,0.017,-1.509,-1.549,1.422,0.449
The cat jumped onto the windowsill to watch birds.,0.604,-1.925,-0.983,-1.297,-0.096,-0.421,-0.601,0.358,0.84,-1.437,0.727,-1.23,-0.325,1.072,-1.207,0.53,-0.629,0.125,-1.218,-0.763,0.315,-0.017,-0.81,0.149,-1.751,1.179,0.149,1.566,-1.51,1.113,1.259,0.493,1.312,0.146,1.005,-0.791,-1.076,1.674,1.423,0.423,-0.86,-0.321,-0.257,0.316,1.957,0.162,1.26,0.848,-1.217,-0.265
The chef garnished the plate with fresh herbs.,-0.94,1.367,1.157,1.409,0.233,-0.011,0.482,0.469,-0.804,0.846,-0.388,1.533,0.225,-0.54,1.502,0.075,0.354,0.404,1.058,0.721,-0.56,-1.282,0.998,-0.387,1.065,-1.898,0.205,-1.224,1.548,-1.232,0.015,-1.204,-1.379,-0.492,-1.151,0.62,0.91,-1.441,-1.098,-0.598,1.243,-0.051,0.072,-1.678,-1.278,0.964,-0.387,-1.023,1.679,-0.105
The coffee shop was bustling with morning customers.,0.994,-1.405,-1.121,-1.443,-0.093,-0.278,-0.691,-0.046,0.891,-1.024,0.658,-1.604,0.034,0.775,-1.584,-0.392,-0.379,0.004,-1.312,-0.526,0.576,0.739,-1.006,0.136,-1.169,1.593,-0.254,1.111,-1.599,1.173,0.646,1.035,1.375,0.533,1.41,-0.467,-1.158,1.46,0.982,0.491,-1.204,-0.416,0.044,1.197,1.266,-0.564,1.193,1.143,-1.602,-0.12
The comedian's joke made everyone laugh.,-0.97,1.46,1.181,1.431,0.203,0.175,0.51,0.06,-0.872,0.988,-0.718,1.627,0.1,-0.781,1.545,0.319,0.405,-0.052,1.244,0.567,-0.497,-0.806,0.922,-0.199,1.216,-1.626,0.371,-1.188,1.59,-1.233,-0.656,-1.066,-1.337,-0.543,-1.255,0.516,1.124,-1.36,-1.045,-0.412,1.169,0.237,0.029,-1.283,-1.347,0.773,-1.176,-1.133,1.596,0.196
The dog wagged its tail excitedly at the park.,-0.969,0.974,1.026,1.352,0.877,0.522,0.163,0.004,-0.813,0.983,-1.061,1.847,0.222,-0.934,1.628,0.361,-0.02,0.023,0.984,0.333,-0.49,-0.612,0.896,-0.087,1.194,-1.657,0.687,-1.048,1.559,-1.404,-0.89,-0.938,-1.172,-0.624,-1.657,0.101,1.124,-1.068,-1.231,-0.668,1.252,0.304,0.141,-1.242,-0.892,0.965,-0.848,-1.266,1.617,0.451
The flight attendant demonstrated safety procedures.,-1.035,1.324,1.016,1.742,0.147,0.306,0.218,0.225,-0.871,0.938,-0.279,1.568,0.036,-0.466,1.827,0.241,0.145,0.174,1.048,0.357,-0.64,-1.274,0.857,0.196,0.979,-1.913,0.303,-1.222,1.401,-1.131,-0.066,-1.061,-1.276,-0.632,-1.174,0.532,1.043,-1.366,-0.874,-0.564,1.229,0.067,0.053,-1.722,-1.165,1.104,-1.04,-0.795,1.707,-0.215
The hiker followed the trail markers through the forest.,1.115,-1.314,-1.183,-1.107,-0.335,-0.377,-0.219,-0.492,0.769,-0.496,0.816,-1.627,-0.041,0.984,-1.595,-0.524,-0.314,-0.291,-1.215,-0.409,0.499,0.958,-1.128,0.16,-1.159,1.619,-0.482,1.164,-1.404,1.18,0.525,0.992,1.304,0.247,1.333,-0.436,-1.25,1.352,1.044,0.399,-1.196,-0.363,-0.231,1.408,1.482,-0.754,1.157,1.202,-1.715,-0.048
The movie theater was packed for the premiere.,1.043,-1.23,-1.089,-1.503,-0.099,-0.259,-0.698,-0.164,0.975,-0.995,0.602,-1.579,-0.002,0.665,-1.598,-0.476,-0.272,-0.082,-1.356,-0.536,0.624,0.867,-1.053,0.068,-1.033,1.625,-0.29,1.095,-1.539,1.171,0.596,1.095,1.434,0.524,1.403,-0.475,-1.16,1.422,1.008,0.507,-1.168,-0.456,-0.024,1.302,1.195,-0.636,1.155,1.093,-1.674,-0.021
The museum exhibit featured ancient Egyptian artifacts.,0.752,-1.003,-0.725,-1.186,-0.347,-0.636,-1.007,-0.072,0.709,-0.91,1.184,-1.536,-0.019,1.48,-1.333,-0.462,-0.196,0.189,-1.625,-0.853,0.539,-0.078,-1.002,0.194,-1.106,1.272,-0.572,1.155,-1.526,1.258,1.312,0.676,1.099,0.434,1.616,-0.289,-1.272,1.353,0.924,0.334,-1.037,-0.593,-0.242,1.255,1.42,-0.042,1.135,1.437,-1.384,-0.673
The old clock on the wall ticked loudly.,0.916,-1.42,-1.103,-1.567,0.008,-0.309,-0.624,0.072,1.03,-1.563,0.243,-1.429,0.381,0.164,-1.419,0.125,-0.322,1.113,-1.593,-0.25,0.498,0.777,-0.543,-0.16,-1.006,1.425,-0.403,2.255,-1.344,0.786,0.428,0.782,1.437,0.058,1.256,-0.314,-1.359,1.385,0.743,1.049,-0.996,-0.78,0.03,1.386,1.251,-0.401,0.486,0.729,-1.48,-0.427
The old photograph brought back forgotten memories.,0.98,-1.395,-1.156,-1.436,-0.162,-0.239,-0.728,-0.208,0.921,-0.984,0.632,-1.492,-0.008,0.664,-1.496,-0.37,-0.301,-0.12,-1.344,-0.486,0.695,0.846,-0.893,0.092,-1.118,2.203,-0.384,1.12,-1.497,1.105,0.595,0.981,1.248,0.454,1.386,-0.549,-1.119,1.522,0.869,0.46,-1.095,-0.434,-0.063,1.375,1.17,-0.583,1.134,0.972,-1.604,-0.162
The orchestra tuned their instruments before the concert.,1.124,-1.039,-1.131,-1.449,-0.167,-0.443,-0.754,-0.569,0.979,-0.958,0.832,-1.583,-0.303,0.641,-1.58,-0.695,-0.192,-0.063,-1.324,0.046,0.591,0.759,-1.072,0.075,-0.862,1.588,-0.552,0.991,-1.544,1.193,0.589,1.132,1.391,0.375,1.437,-0.507,-1.312,1.421,1.124,0.474,-1.315,-0.781,-0.209,1.309,1.119,0.105,1.211,1.243,-1.321,-0.021
The painting hung crookedly on the wall.,-1.419,1.218,1.206,1.683,0.347,-0.272,0.624,0.195,-0.883,0.688,-0.114,1.409,0.158,-0.222,1.701,0.456,0.144,0.547,0.954,0.354,-0.647,-1.603,1.163,-0.379,1.08,-1.89,-0.085,-0.298,1.447,-1.014,-0.049,-1.34,-1.339,-0.804,-0.779,0.718,0.608,-1.159,-1.014,-0.452,1.11,-0.051,-0.105,-1.552,-0.861,1.385,-1.136,-0.911,1.803,-0.619
The professor explained the theory with great enthusiasm.,2.805,-0.306,-0.201,-1.056,-0.419,1.237,-1.236,-1.307,0.696,0.047,-0.581,0.622,-1.392,-1.114,-1.075,-0.183,1.55,-1.458,-0.383,1.053,1.707,2.59,-1.4,-0.994,-0.521,0.908,-0.255,-0.408,-0.113,-0.307,-0.616,0.882,0.555,0.544,0.835,-1.746,-0.074,0.688,0.3,0.811,-0.055,-0.711,0.192,-0.144,-0.116,-0.597,0.281,0.098,-0.752,1.119
The recipe called for two teaspoons of vanilla extract.,2.392,-1.385,-0.91,-1.518,-0.308,0.322,-1.715,0.948,0.872,-1.176,0.242,-0.978,0.059,0.608,-1.212,-0.192,-0.52,-0.448,-1.455,0.472,-0.0,0.848,-1.196,-0.516,-1.563,0.865,1.175,0.406,-1.273,0.654,0.952,0.842,1.038,0.384,1.31,-0.609,-0.545,1.076,0.119,0.568,-0.338,-1.052,1.931,0.11,0.51,-0.731,1.74,0.708,-0.8,-0.71
The telescope revealed stunning details of Saturn's rings.,0.926,-1.259,-1.072,-1.494,-0.318,-0.249,-0.579,-0.408,1.168,-0.738,1.439,-1.573,-0.112,0.784,-1.496,0.075,-0.428,-0.299,-1.262,-0.523,0.742,0.894,-0.451,0.322,-1.295,1.345,-0.282,0.967,-1.407,1.271,0.345,0.797,1.258,0.451,1.017,-0.791,-1.069,0.889,2.076,0.049,-1.247,-0.559,0.006,1.227,1.112,-0.746,0.914,1.508,-1.562,-0.363
The train arrived precisely on schedule.,0.663,0.325,-0.219,0.277,0.554,1.157,-0.853,0.007,0.215,-0.992,-2.747,1.085,-1.248,-1.439,1.091,0.542,0.382,-0.843,0.605,0.569,1.347,1.974,-1.483,0.299,-0.188,0.487,-0.563,0.104,0.082,-0.743,-2.686,0.596,1.28,-0.834,-1.07,-0.277,0.474,-0.643,1.252,0.342,-0.006,-0.23,0.278,0.625,-1.011,-0.632,-0.327,0.599,-0.287,2.11
Their canoe glided silently across the still lake.,0.904,-1.302,-1.085,-1.416,-0.249,-0.41,-0.554,-0.146,0.891,-0.831,0.707,-1.648,-0.161,0.832,-1.41,-0.574,-0.447,0.042,-1.25,-0.551,0.614,0.669,-0.895,0.069,-1.167,1.526,-0.352,1.462,-1.563,1.342,0.634,1.187,1.291,0.393,1.376,-0.404,-1.222,1.458,1.133,0.541,-1.187,-0.455,-0.193,1.188,1.296,-0.641,1.126,1.143,-1.577,-0.134
They planted tulip bulbs in the garden last fall.,-0.557,1.387,1.171,1.218,0.061,0.523,1.041,-0.002,-0.814,1.13,-0.898,1.656,-0.219,-1.243,1.298,0.144,0.546,-0.18,1.602,0.471,-0.432,-0.041,0.809,-0.68,1.157,-1.363,0.388,-1.486,1.773,-1.337,-1.198,-0.631,-1.184,-0.356,-1.547,0.392,1.488,-1.555,-0.888,-0.718,0.96,0.561,-0.188,-0.607,-0.993,-0.056,-0.956,-1.34,1.192,0.5
They watched the sunset from the rooftop.,-1.485,0.446,-0.68,-0.191,-0.754,-0.11,-0.686,-0.965,0.034,-0.886,2.764,-1.783,-0.722,2.659,0.258,0.091,0.041,0.313,-0.045,-0.237,-0.141,-1.901,0.589,0.903,0.174,-0.094,-1.353,0.217,-0.619,0.864,1.149,-0.136,-0.991,-0.591,0.904,0.571,-1.233,1.561,1.092,0.677,-0.381,-0.223,-0.713,-1.133,0.402,1.506,-0.613,1.578,-0.308,0.182
Waves crashed against the rocky shoreline.,-1.509,1.145,0.982,1.626,-0.323,-0.183,2.437,-0.586,-1.163,1.551,-0.725,0.983,0.015,0.278,1.124,-0.192,0.008,0.346,0.848,0.008,-0.87,-1.553,0.671,0.575,0.666,-1.528,-0.133,-1.216,1.274,0.823,-0.84,-1.187,-1.818,0.158,-0.927,1.433,0.848,-1.289,-1.126,-0.512,0.788,0.521,-0.054,-0.78,-0.697,0.339,-1.112,-0.009,1.277,-0.394
Wind chimes tinkled melodically on the porch.,-0.737,1.397,1.171,1.259,0.28,0.095,0.751,-0.232,-1.016,1.118,-0.772,1.584,-0.351,-0.982,1.468,0.204,0.529,0.712,1.064,1.105,-0.592,-0.543,1.344,-0.46,1.3,-1.524,0.067,-1.058,1.499,-1.17,-0.62,-0.728,-1.31,-0.581,-1.349,0.44,0.898,-1.457,-0.914,-0.436,0.831,0.25,-0.215,-0.886,-1.391,0.384,-1.369,-1.247,1.867,0.323
